Model,n_neighbors,Metric,Accuracy,Precision,Recall,F1 Score
K-Nearest Neighbors,7,manhattan,0.9836676756793734,0.9836520830845304,0.9837103993299948,0.9836666736167944
K-Nearest Neighbors,7,manhattan,0.9836676756793734,0.9875651551800496,0.9800527419027656,0.9837946072525496
K-Nearest Neighbors,11,manhattan,0.9912096181143434,0.995161510154014,0.9874230847251336,0.9912771951260904
K-Nearest Neighbors,3,euclidean,0.9649239820087904,0.9684171119354729,0.9620325917911962,0.9652142941944676
K-Nearest Neighbors,3,manhattan,0.9503531544473518,0.9594543387646836,0.9416458178375819,0.9504666678041872
K-Nearest Neighbors,5,euclidean,0.9813247139705505,0.984389878928037,0.9785989586855095,0.9814858770472348
K-Nearest Neighbors,5,manhattan,0.9721067843278094,0.9778081723371517,0.9667996483873149,0.9722727504547541
K-Nearest Neighbors,7,euclidean,0.9854633762591282,0.9900047758750086,0.9811684359997296,0.9855668002445154
K-Nearest Neighbors,9,euclidean,0.9870538539154824,0.9912391341401057,0.9830955439853946,0.9871505440225418
K-Nearest Neighbors,9,manhattan,0.988165478083902,0.9919277929155313,0.984616945026709,0.9882588482812447
K-Nearest Neighbors,11,euclidean,0.988079968532485,0.9921946896622243,0.9841774291703294,0.988169798190675
K-Nearest Neighbors,13,euclidean,0.9886272296615531,0.9923372952355004,0.9851240787071472,0.9887175310904125
K-Nearest Neighbors,13,manhattan,0.9924922613855968,0.9959829787234042,0.9891473392386233,0.992553389988635
K-Nearest Neighbors,15,euclidean,0.9888666564055205,0.9925421420057892,0.9853945500033809,0.9889554315185858
K-Nearest Neighbors,15,manhattan,0.9934841721820328,0.9967672780481165,0.9903306511596457,0.9935385398117528
