Model,n_estimators,Max Depth,Learning Rate,Accuracy,Precision,Recall,F1 Score
XGBoost,200,10,0.1,0.9929882167838148,0.992981017113358,0.9929944523547716,0.992987358206391
XGBoost,200,10,0.1,0.9929882167838148,0.993670029111096,0.992460612617486,0.993064952638701
XGBoost,200,10,0.1,0.9929882167838148,0.993670029111096,0.992460612617486,0.993064952638701
XGBoost,200,10,0.1,0.9929882167838148,0.993670029111096,0.992460612617486,0.993064952638701
XGBoost,100,5,0.01,0.761530963008568,0.771235253296322,0.7514706876732706,0.7612246994760095
XGBoost,100,5,0.05,0.8343679989054777,0.8463386608168808,0.8217594157820002,0.8338679520386983
XGBoost,100,5,0.1,0.9378003522993519,0.9584349485738521,0.916796267496112,0.9371533237718374
XGBoost,100,10,0.01,0.9066577736733193,0.9267515923566879,0.8854554060450335,0.9056329748608182
XGBoost,100,10,0.05,0.9847450960272263,0.9943816351854405,0.9753533031307052,0.9847755589691074
XGBoost,100,10,0.1,0.9941682485933678,0.9952569705593387,0.9932044086821286,0.9942296302563669
XGBoost,100,15,0.01,0.9873274844800164,0.9866347159877148,0.9883359253499222,0.9874845879710169
XGBoost,100,15,0.05,0.9943734715167685,0.9939541324686729,0.9949286631956183,0.994441159077469
XGBoost,100,15,0.1,0.99245805756503,0.9928950840748384,0.9921901413212523,0.9925424875285364
XGBoost,150,5,0.01,0.7661655806953637,0.7737992769839903,0.759855297856515,0.7667638981287208
XGBoost,150,5,0.05,0.8929933473568997,0.9191559725367554,0.8644938805869227,0.8909873338327787
XGBoost,150,5,0.1,0.969969045542387,0.9810165975103734,0.9591926431807425,0.9699818797223837
XGBoost,150,10,0.01,0.9297453525558805,0.9604787387908591,0.8980661302319292,0.9282244819512877
XGBoost,150,10,0.05,0.993313153079199,0.9944770101311287,0.9922915680573399,0.9933830871029429
XGBoost,150,10,0.1,0.9940485352213843,0.9953901430411497,0.9928325106498073,0.9941096817874069
XGBoost,150,15,0.01,0.9896533442785559,0.9887318241624776,0.9908377848400839,0.9897836842905149
XGBoost,150,15,0.05,0.9932618473483488,0.9944429384657089,0.9922239502332815,0.9933322051108479
XGBoost,150,15,0.1,0.9918936945256785,0.992653531044756,0.9913111096084928,0.9919818661614453
XGBoost,200,5,0.01,0.7813691789372873,0.7862938970337539,0.7797011292176618,0.7829836354994228
XGBoost,200,5,0.05,0.9307714671728832,0.9537859936011376,0.9070931097437285,0.9298537464476329
XGBoost,200,5,0.1,0.9763993638089374,0.9868103031558594,0.9662587057948475,0.9764263751281175
XGBoost,200,10,0.01,0.9417679954850957,0.9689325258895618,0.9141929812698627,0.9407671566495608
XGBoost,200,10,0.05,0.994356369606485,0.994555292526209,0.9942862938670634,0.994420775005072
XGBoost,200,15,0.01,0.9940998409522344,0.9940510393780632,0.9942862938670634,0.994168652705238
XGBoost,200,15,0.05,0.992954012963248,0.9944060211554109,0.9916491987287849,0.9930256965839456
XGBoost,200,15,0.1,0.9916029620508611,0.9921824765643508,0.9912096828724052,0.9916958411554789
XGBoost,250,5,0.01,0.7891847519367914,0.7909400613890107,0.7927851781729663,0.7918615449556775
XGBoost,250,5,0.05,0.9558941733791665,0.9694661797948183,0.9424910406383122,0.955788318790393
XGBoost,250,5,0.1,0.9864723889658474,0.9944011266444543,0.9787680032456556,0.9865226354977765
XGBoost,250,10,0.01,0.9557231542763327,0.9824116111965109,0.9291027114747448,0.9550138138346858
XGBoost,250,10,0.05,0.9940314333111009,0.9949202478919029,0.9932720265061871,0.9940954540071396
XGBoost,250,10,0.1,0.9926290766678638,0.9933313022578789,0.9920887145851647,0.9927096195808454
XGBoost,250,15,0.01,0.9942366562345014,0.9941528373948018,0.9944553384272095,0.9943040649032368
XGBoost,250,15,0.05,0.9925264652061635,0.9937646141855028,0.9914463452566097,0.9926041261191125
XGBoost,250,15,0.1,0.9913806372171772,0.9918127072197036,0.9911420650483468,0.9914772727272727
